                   a                      sum           
            0.96000000000000       2.40000000000000     
            0.51200000000000       3.36000000000000     
            0.30720000000000       3.87200000000000     
            0.19660800000000       4.17920000000000     
            0.13107200000000       4.37580800000000     
            0.08987794285714       4.50688000000000     
            0.06291456000000       4.59675794285714     
            0.04473924266667       4.65967250285714     
            0.09663676416000       4.70441174552381     
            0.07028128302545       4.80104850968381     
            0.05153960755200       4.87132979270926     
            0.03806001788455       4.92286940026126     
            0.02827315614281       4.96092941814582     
            0.02111062325330       4.98920257428863     
            0.01583296743997       5.01031319754193     
            0.01192129313127       5.02614616498190     
            0.00900719925474       5.03806745811318     
            0.00682650890886       5.04707465736792     
            0.00518814677073       5.05390116627678     
            0.00395287373008       5.05908931304751     
            0.00301855812115       5.06304218677759     
            0.00230985317097       5.06606074489874     
            0.00177088743108       5.06837059806971     
            0.00136004154707       5.07014148550078     
            0.00104618580544       5.07150152704785     
